Location,MinTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Cloud9am,Cloud3pm,Temp3pm,Month,RainTomorrow
7,23.5,0.6,5.4,4.9,0.0,39.0,7.0,8.0,17.0,17.0,62.0,57.0,1010.7,7.0,7.0,30.0,3,0
14,13.8,0.0,2.4,6.1,8.0,35.0,9.0,8.0,9.0,15.0,88.0,51.0,1021.8,7.0,6.0,22.3,4,0
24,6.1,0.2,3.6,10.1,10.0,54.0,4.0,10.0,22.0,30.0,89.0,42.0,1016.4,0.0,0.0,20.6,9,0
11,15.5,0.0,9.0,11.8,9.0,28.0,1.0,13.0,7.0,15.0,43.0,14.0,1013.5,1.0,1.0,34.9,3,0
21,24.3,0.4,7.8,11.8,10.0,39.0,2.0,11.0,20.0,31.0,59.0,50.0,1011.7,1.0,2.0,33.4,10,0
24,10.2,1.0,3.0,0.0,9.0,26.0,9.0,9.0,9.0,13.0,71.0,64.0,1018.6,7.0,7.0,16.3,3,0
20,8.5,0.0,3.8,3.8,8.0,44.0,13.0,5.0,26.0,17.0,65.0,56.0,1009.5,6.0,6.0,15.7,6,0
25,19.4,0.0,7.0,8.1,1.0,44.0,0.0,0.0,31.0,28.0,72.0,68.0,1018.0,6.0,3.0,23.6,12,0
23,7.5,0.0,1.8,9.3,7.5,37.96875,7.5,2.0,0.0,9.0,87.0,62.0,1024.7,1.0,1.0,18.5,5,0
17,14.4,0.0,5.8,7.3,3.0,31.0,0.0,2.0,11.0,19.0,79.0,64.0,1020.9,4.5,4.5,20.8,1,0
19,9.1,0.0,2.2,9.8,13.0,37.0,14.0,13.0,15.0,13.0,62.0,38.0,1013.9,0.0,1.0,19.0,6,0
6,0.0,0.0,0.8,9.5,7.0,24.0,0.0,7.0,7.0,11.0,83.0,39.0,1022.2,1.0,1.0,17.3,5,0
24,13.2,0.0,6.0,3.0,7.0,39.0,5.0,8.0,15.0,22.0,99.0,69.0,1018.1,7.0,7.0,19.9,3,0
21,28.5,0.0,7.2,5.9,15.0,50.0,15.0,13.0,28.0,30.0,78.0,70.0,1006.0,7.0,8.0,30.6,1,0
5,10.5,0.0,6.922463768115942,9.2,4.0,31.0,11.0,11.0,19.0,6.0,62.0,35.0,1027.0,4.5,4.5,22.5,6,0
7,11.2,0.0,3.4,8.1,4.0,33.0,7.5,4.0,0.0,26.0,72.0,54.0,1018.7,1.0,2.0,23.0,6,0
10,12.8,0.0,9.2,13.7,3.0,37.0,1.0,4.0,20.0,11.0,48.0,21.0,1021.7,1.0,1.0,28.1,12,0
22,18.5,0.0,9.4,12.1,1.0,48.0,10.0,1.0,13.0,28.0,74.0,53.0,1015.3,3.0,6.0,28.7,2,0
21,23.0,0.0,3.4,10.3,0.0,43.0,0.0,2.0,19.0,20.0,64.0,23.0,1013.2,7.0,7.0,32.5,5,0
2,15.8,0.0,8.0,13.3,4.0,52.0,4.0,14.0,22.0,9.0,39.0,21.0,1013.6,1.0,3.0,35.7,1,0
26,11.4,1.4,2.4,4.3,5.0,39.0,7.0,7.0,13.0,22.0,86.0,64.0,1014.7,4.5,4.5,16.2,12,0
5,20.5,0.0,6.922463768115942,12.7,9.0,43.0,2.0,9.0,13.0,30.0,53.0,35.0,1012.5,2.0,0.0,32.9,2,0
