Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Month,RainTomorrow
9,12.1,33.6,0.0,9.4,13.2,0,46.0,1,9,24.0,26.0,38.0,24.0,1018.1,1014.3,0.0,0.0,22.7,32.6,0,1,No
25,18.2,24.2,0.0,7.8,12.1,3,41.0,3,3,22.0,26.0,64.0,63.0,1019.5,1018.3,1.0,2.0,22.3,23.5,0,1,No
4,7.9,23.6,0.0,3.0,4.5,10,26.0,10,8,15.0,17.0,76.0,47.0,1026.2,1023.3,7.0,3.0,14.7,22.0,0,6,No
3,21.9,37.4,0.0,13.8,13.1,8,37.0,6,7,11.0,17.0,21.0,7.0,1014.7,1011.0,1.0,1.0,30.0,37.2,0,11,No
9,17.0,30.2,0.0,8.0,12.5,7,41.0,7,5,20.0,30.0,57.0,41.0,1013.0,1010.8,5.0,3.0,25.3,28.0,0,12,No
12,11.4,24.9,0.0,8.6,12.4,12,30.0,10,5,7.0,15.0,47.0,29.0,1026.9,1022.8,4.5,4.5,18.3,24.4,0,10,No
2,16.0,29.6,0.0,10.6,13.3,9,67.0,15,5,17.0,33.0,31.0,39.0,1006.3,1006.6,1.0,3.0,24.1,26.0,0,12,No
23,11.947428571428572,25.53551912568306,0.0,8.4,6.7,7,37.96875,7,7,16.68421052631579,19.454545454545453,60.0,50.5,1019.7,1020.7,4.5,4.5,17.417548746518104,23.83839779005525,0,12,No
20,20.4,28.6,0.0,4.8,9.8,6,59.0,5,6,15.0,35.0,28.0,56.0,1005.9,1008.5,4.0,4.0,25.2,23.1,0,3,No
22,16.9,30.2,0.0,3.8,7.9,8,41.0,12,2,7.0,19.0,81.0,44.0,1020.6,1016.1,5.0,1.0,20.3,28.8,0,3,No
14,9.7,18.6,0.0,2.0,1.9,13,35.0,12,9,11.0,24.0,71.0,65.0,1024.0,1022.3,7.0,7.0,14.4,17.8,0,4,No
15,12.0,23.8,0.0,4.6,8.2,9,19.0,5,7,7.0,4.0,58.0,45.0,1024.6,1021.2,2.0,4.0,17.3,23.0,0,5,No
25,16.4,23.5,0.0,6.0,9.9,0,31.0,0,3,19.0,15.0,65.0,64.0,1012.6,1011.5,5.0,4.0,21.3,21.9,0,12,No
12,11.8,28.1,0.0,11.4,10.6,2,20.0,6,5,2.0,9.0,56.0,24.0,1024.8,1021.7,4.5,4.5,20.0,27.8,0,4,No
20,10.4,24.9,0.0,7.2,11.1,15,30.0,13,4,11.0,13.0,45.0,45.0,1022.1,1017.2,1.0,0.0,17.6,21.3,0,10,No
10,7.4,26.2,0.0,5.2,12.4,4,37.0,4,11,17.0,11.0,48.0,19.0,1025.1,1021.8,0.0,0.0,13.7,24.4,0,10,No
6,0.8,14.7,0.0,0.6,8.8,1,13.0,0,7,6.0,0.0,75.0,46.0,1026.7,1024.5,1.0,3.0,6.7,13.8,0,6,No
9,2.7,16.0,0.0,1.2,5.4,0,35.0,4,0,11.0,11.0,83.0,46.0,1032.4,1030.4,4.0,5.0,9.1,14.9,0,7,No
13,2.3,17.4,0.2,0.8,4.8,15,26.0,7,2,0.0,13.0,93.0,63.0,1021.1,1018.7,7.0,6.0,10.0,16.5,0,6,No
6,1.4,18.3,0.0,1.6,8.8,0,17.0,2,7,11.0,7.0,79.0,39.0,1025.7,1022.4,1.0,4.0,6.9,17.6,0,5,No
14,14.3,24.5,0.0,6.4,1.5,3,31.0,13,1,11.0,15.0,74.0,61.0,1019.3,1017.1,7.0,7.0,18.0,21.6,0,1,No
21,26.6,33.5,0.0,7.0,9.3,14,35.0,5,15,15.0,30.0,73.0,60.0,1009.4,1006.3,2.0,1.0,29.5,32.3,0,3,No
25,16.4,21.7,0.0,6.2,2.7,1,33.0,0,0,17.0,17.0,66.0,67.0,1022.8,1021.3,7.0,7.0,20.1,20.2,0,11,No
