Location,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Cloud9am,Cloud3pm,Temp3pm,Month,RainTomorrow
3,0.0,12.0,12.3,7,48.0,1,5,6.0,20.0,20.0,13.0,1006.3,2.0,5.0,33.4,1,No
3,0.0,12.6,13.3,3,30.0,7,11,16.68421052631579,7.0,60.0,7.0,1018.5500000000002,4.5,1.0,32.7,1,No
3,0.0,10.8,10.6,10,46.0,10,12,30.0,15.0,42.0,22.0,1012.3,1.0,6.0,34.9,1,No
3,0.0,11.4,12.2,15,31.0,15,9,6.0,6.0,37.0,22.0,1012.7,1.0,5.0,35.6,1,No
3,0.0,13.0,0.0,11,43.0,11,15,7.0,20.0,26.0,19.0,1007.7,8.0,8.0,34.3,1,No
3,0.0,9.8,12.6,7,41.0,8,6,17.0,19.0,33.0,15.0,1011.3,3.0,1.0,31.5,1,No
3,0.0,12.0,12.3,1,48.0,1,9,30.0,9.0,46.0,28.0,1008.3,1.0,5.0,33.3,1,No
3,0.0,11.0,12.7,4,41.0,10,9,15.0,17.0,61.0,14.0,1007.9,1.0,5.0,33.6,1,No
3,0.0,12.8,13.2,0,30.0,3,1,11.0,7.0,27.0,9.0,1012.6,0.0,1.0,36.4,1,No
3,0.0,13.8,12.1,1,39.0,4,11,24.0,9.0,40.0,15.0,1013.6,0.0,2.0,37.0,1,No
3,0.0,12.0,11.3,3,61.0,4,3,22.0,17.0,46.0,19.0,1016.4,1.0,2.0,32.2,1,No
3,0.0,13.6,3.7,11,46.0,14,11,9.0,28.0,46.0,52.0,1012.0,4.0,7.0,29.7,1,No
3,0.0,8.0,5.9,15,56.0,11,11,24.0,19.0,71.0,63.0,1008.6,7.0,7.0,27.3,1,Yes
3,0.0,12.6,13.2,8,31.0,1,0,17.0,7.0,50.0,16.0,1014.6,0.0,1.0,38.7,1,No
3,0.0,14.2,13.0,1,46.0,1,2,24.0,7.0,45.0,22.0,1015.2,1.0,3.0,36.4,1,No
3,0.0,13.4,11.3,3,30.0,13,6,9.0,9.0,34.0,16.0,1012.9,5.0,3.0,38.9,2,No
3,0.0,14.4,10.9,8,57.0,10,10,17.0,9.0,32.0,20.0,1010.4,5.0,2.0,38.5,2,No
3,0.6,11.8,12.2,9,54.0,0,7,9.0,11.0,42.0,17.0,1008.4,1.0,2.0,38.7,2,Yes
3,1.6,12.6,12.3,1,39.0,4,9,17.0,7.0,50.0,21.0,1007.0,0.0,4.0,38.8,2,No
3,0.0,13.0,12.1,15,28.0,12,12,9.0,13.0,25.0,16.0,1007.5,1.0,2.0,41.4,2,No
3,0.0,11.6,12.3,5,44.0,7,8,22.0,24.0,38.0,19.0,1011.9,0.0,0.0,24.1,2,No
3,0.0,9.6,10.0,8,37.0,8,3,9.0,13.0,44.0,25.0,1013.2,6.0,6.0,28.4,2,No
3,0.0,6.0,0.0,2,48.0,3,3,19.0,20.0,65.0,97.0,1011.2,7.0,7.0,17.1,2,Yes
3,1.6,2.0,10.0,0,30.0,0,2,19.0,15.0,69.0,53.0,1009.0,3.0,6.0,27.0,2,No
3,0.0,5.2,10.7,6,26.0,0,8,6.0,13.0,66.0,28.0,1008.7,0.0,3.0,30.0,2,No
3,0.0,6.6,11.6,5,31.0,9,6,9.0,4.0,45.0,19.0,1011.0,2.0,4.0,33.1,2,No
3,0.0,9.0,12.4,8,31.0,8,7,13.0,11.0,39.0,25.0,1012.5,1.0,1.0,30.3,2,No
3,0.0,10.2,12.4,15,39.0,0,12,15.0,9.0,52.0,19.0,1013.3,0.0,2.0,32.3,2,No
3,0.0,9.0,10.2,8,43.0,10,12,22.0,24.0,53.0,30.0,1012.8,3.0,4.0,34.0,2,Yes
3,2.0,10.0,9.0,0,46.0,10,14,15.0,22.0,60.0,34.0,1013.5,3.0,4.0,32.9,2,No
3,0.8,7.4,12.1,9,31.0,7,5,11.0,9.0,69.0,32.0,1014.9,2.0,2.0,31.7,2,No
3,0.0,8.4,12.0,2,24.0,2,9,13.0,7.0,25.0,19.0,1014.7,0.0,1.0,32.4,2,No
3,0.0,9.2,12.3,4,39.0,1,11,26.0,7.0,55.0,22.0,1014.5,1.0,1.0,32.3,2,No
3,0.0,9.4,12.0,9,41.0,11,15,17.0,19.0,41.0,18.0,1010.9,6.0,2.0,35.8,2,No
3,0.0,12.4,10.7,7,30.0,5,8,2.0,11.0,33.0,14.0,1011.4,6.0,3.0,30.4,3,No
3,0.0,10.4,3.0,3,30.0,0,14,7.0,6.0,31.0,31.0,1013.4,7.0,6.0,29.3,3,No
3,0.0,7.2,8.4,13,65.0,4,10,19.0,28.0,28.0,20.0,1012.8,7.0,1.0,37.5,3,No
3,0.0,11.0,11.5,7,46.0,7,7,20.0,17.0,50.0,29.0,1016.9,1.0,0.0,22.5,3,No
3,0.0,8.4,12.1,9,41.0,7,9,11.0,9.0,52.0,28.0,1014.8,0.0,0.0,24.9,3,No
3,0.0,8.0,12.0,5,26.0,2,4,11.0,7.0,42.0,18.0,1014.6,0.0,0.0,27.8,3,No
3,0.0,9.4,12.0,0,46.0,3,2,15.0,11.0,29.0,13.0,1014.2,0.0,0.0,31.8,3,No
3,0.0,10.4,11.2,0,41.0,1,1,24.0,9.0,52.0,29.0,1015.8,3.0,6.0,31.3,3,No
3,0.0,10.8,4.8,5,61.0,1,0,30.0,11.0,49.0,34.0,1014.9,7.0,7.0,28.5,3,No
3,0.0,6.8,10.5,2,46.0,1,1,26.0,19.0,54.0,34.0,1016.9,1.0,1.0,30.2,3,No
3,0.0,11.2,5.8,10,48.0,1,11,28.0,20.0,54.0,35.0,1016.2,6.0,5.0,31.2,3,Yes
3,1.2,4.4,11.5,14,37.0,7,14,16.68421052631579,11.0,60.0,30.0,1018.5500000000002,4.5,3.0,33.0,3,No
3,0.0,10.4,11.1,8,39.0,6,5,17.0,13.0,47.0,25.0,1014.5,1.0,0.0,23.3,3,No
