Location,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Cloud9am,Cloud3pm,Temp3pm,Month,RainTomorrow
9,0.0,9.4,13.2,0,46.0,1,9,24.0,26.0,38.0,24.0,1018.1,0.0,0.0,32.6,1,No
25,0.0,7.8,12.1,3,41.0,3,3,22.0,26.0,64.0,63.0,1019.5,1.0,2.0,23.5,1,No
4,0.0,3.0,4.5,10,26.0,10,8,15.0,17.0,76.0,47.0,1026.2,7.0,3.0,22.0,6,No
3,0.0,13.8,13.1,8,37.0,6,7,11.0,17.0,21.0,7.0,1014.7,1.0,1.0,37.2,11,No
9,0.0,8.0,12.5,7,41.0,7,5,20.0,30.0,57.0,41.0,1013.0,5.0,3.0,28.0,12,No
12,0.0,8.6,12.4,12,30.0,10,5,7.0,15.0,47.0,29.0,1026.9,4.5,4.5,24.4,10,No
2,0.0,10.6,13.3,9,67.0,15,5,17.0,33.0,31.0,39.0,1006.3,1.0,3.0,26.0,12,No
23,0.0,8.4,6.7,7,37.96875,7,7,16.68421052631579,19.454545454545453,60.0,50.5,1019.7,4.5,4.5,23.83839779005525,12,No
20,0.0,4.8,9.8,6,59.0,5,6,15.0,35.0,28.0,56.0,1005.9,4.0,4.0,23.1,3,No
22,0.0,3.8,7.9,8,41.0,12,2,7.0,19.0,81.0,44.0,1020.6,5.0,1.0,28.8,3,No
14,0.0,2.0,1.9,13,35.0,12,9,11.0,24.0,71.0,65.0,1024.0,7.0,7.0,17.8,4,No
15,0.0,4.6,8.2,9,19.0,5,7,7.0,4.0,58.0,45.0,1024.6,2.0,4.0,23.0,5,No
25,0.0,6.0,9.9,0,31.0,0,3,19.0,15.0,65.0,64.0,1012.6,5.0,4.0,21.9,12,No
12,0.0,11.4,10.6,2,20.0,6,5,2.0,9.0,56.0,24.0,1024.8,4.5,4.5,27.8,4,No
20,0.0,7.2,11.1,15,30.0,13,4,11.0,13.0,45.0,45.0,1022.1,1.0,0.0,21.3,10,No
10,0.0,5.2,12.4,4,37.0,4,11,17.0,11.0,48.0,19.0,1025.1,0.0,0.0,24.4,10,No
6,0.0,0.6,8.8,1,13.0,0,7,6.0,0.0,75.0,46.0,1026.7,1.0,3.0,13.8,6,No
9,0.0,1.2,5.4,0,35.0,4,0,11.0,11.0,83.0,46.0,1032.4,4.0,5.0,14.9,7,No
13,0.2,0.8,4.8,15,26.0,7,2,0.0,13.0,93.0,63.0,1021.1,7.0,6.0,16.5,6,No
6,0.0,1.6,8.8,0,17.0,2,7,11.0,7.0,79.0,39.0,1025.7,1.0,4.0,17.6,5,No
14,0.0,6.4,1.5,3,31.0,13,1,11.0,15.0,74.0,61.0,1019.3,7.0,7.0,21.6,1,No
21,0.0,7.0,9.3,14,35.0,5,15,15.0,30.0,73.0,60.0,1009.4,2.0,1.0,32.3,3,No
25,0.0,6.2,2.7,1,33.0,0,0,17.0,17.0,66.0,67.0,1022.8,7.0,7.0,20.2,11,No
7,0.0,6.0,10.5,1,41.0,0,1,20.0,28.0,64.0,65.0,1017.3,3.0,2.0,26.0,9,No
4,0.0,5.4,6.0,12,33.0,11,12,20.0,20.0,60.0,46.0,1019.4,7.0,5.0,26.3,9,No
24,0.0,7.0,13.2,11,48.0,11,13,31.0,22.0,39.0,33.0,1014.9,0.0,1.0,31.7,1,No
9,0.0,8.6,11.1,9,41.0,6,5,17.0,31.0,48.0,37.0,1015.8,1.0,1.0,29.5,3,No
17,0.0,7.6,6.1,15,50.0,11,14,9.0,26.0,52.0,34.0,1003.2,7.0,6.0,22.3,2,No
7,0.0,7.0,9.9,14,37.0,14,11,13.0,19.0,69.0,54.0,1017.7,5.0,0.0,28.0,9,No
17,0.4,4.8,9.8,5,52.0,7,7,20.0,19.0,52.0,26.0,1009.7,5.0,6.0,19.5,2,No
26,0.4,2.6,2.7,7,22.0,6,7,6.0,15.0,60.0,50.5,1026.7,4.5,4.5,15.0,4,No
6,0.0,9.2,11.7,15,31.0,1,15,17.0,19.0,51.0,12.0,1017.4,3.0,3.0,28.2,12,No
15,0.0,7.4,12.8,1,28.0,2,1,2.0,11.0,57.0,59.0,1015.3,3.0,1.0,28.9,1,No
29,0.4,0.8,1.3,7,20.0,9,7,7.0,7.0,69.0,63.0,1029.8,8.0,7.0,11.5,6,No
8,0.0,1.2,7.1,14,41.0,15,12,2.0,22.0,86.0,59.0,1030.0,5.0,5.0,13.6,7,No
27,0.0,7.4,10.0,3,44.0,3,3,19.0,33.0,53.0,45.0,1017.6,1.0,1.0,27.6,4,No
25,0.0,8.0,13.0,0,41.0,2,0,22.0,30.0,60.0,68.0,1022.9,1.0,1.0,22.2,1,No
2,0.2,4.2,12.7,6,37.0,7,9,11.0,17.0,66.0,32.0,1021.6,1.0,5.0,17.7,11,No
20,1.8,2.0,6.3,8,52.0,5,7,13.0,28.0,83.0,62.0,1025.7,3.0,5.0,17.6,6,No
10,0.8,12.4,8.7,5,48.0,9,9,20.0,26.0,76.0,46.0,1019.8,6.0,5.0,14.2,5,No
25,0.0,7.6,3.6,3,41.0,3,2,15.0,24.0,82.0,76.0,1019.9,7.0,8.0,22.2,12,No
7,0.0,8.4,10.7,1,39.0,1,4,20.0,26.0,72.0,64.0,1018.1,2.0,1.0,27.3,9,No
14,0.6,1.8,1.7,7,39.0,9,7,19.0,20.0,78.0,58.0,1025.0,6.0,7.0,13.0,5,No
