Location,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Cloud9am,Cloud3pm,Month,TempDiff,RainTomorrow
7,0.6,5.4,4.9,0.0,39.0,7.0,8.0,17.0,17.0,62.0,57.0,1010.7,7.0,7.0,3,6.5,0
14,0.0,2.4,6.1,8.0,35.0,9.0,8.0,9.0,15.0,88.0,51.0,1021.8,7.0,6.0,4,8.5,0
24,0.2,3.6,10.1,10.0,54.0,4.0,10.0,22.0,30.0,89.0,42.0,1016.4,0.0,0.0,9,14.500000000000002,0
11,0.0,9.0,11.8,9.0,28.0,1.0,13.0,7.0,15.0,43.0,14.0,1013.5,1.0,1.0,3,19.4,0
21,0.4,7.8,11.8,10.0,39.0,2.0,11.0,20.0,31.0,59.0,50.0,1011.7,1.0,2.0,10,9.099999999999998,0
24,1.0,3.0,0.0,9.0,26.0,9.0,9.0,9.0,13.0,71.0,64.0,1018.6,7.0,7.0,3,6.100000000000001,0
20,0.0,3.8,3.8,8.0,44.0,13.0,5.0,26.0,17.0,65.0,56.0,1009.5,6.0,6.0,6,7.199999999999999,0
25,0.0,7.0,8.1,1.0,44.0,0.0,0.0,31.0,28.0,72.0,68.0,1018.0,6.0,3.0,12,4.200000000000003,0
23,0.0,1.8,9.3,7.5,37.96875,7.5,2.0,0.0,9.0,87.0,62.0,1024.7,1.0,1.0,5,11.0,0
17,0.0,5.8,7.3,3.0,31.0,0.0,2.0,11.0,19.0,79.0,64.0,1020.9,4.5,4.5,1,6.4,0
19,0.0,2.2,9.8,13.0,37.0,14.0,13.0,15.0,13.0,62.0,38.0,1013.9,0.0,1.0,6,9.9,0
6,0.0,0.8,9.5,7.0,24.0,0.0,7.0,7.0,11.0,83.0,39.0,1022.2,1.0,1.0,5,17.3,0
24,0.0,6.0,3.0,7.0,39.0,5.0,8.0,15.0,22.0,99.0,69.0,1018.1,7.0,7.0,3,6.699999999999999,0
21,0.0,7.2,5.9,15.0,50.0,15.0,13.0,28.0,30.0,78.0,70.0,1006.0,7.0,8.0,1,2.1000000000000014,0
5,0.0,6.922463768115942,9.2,4.0,31.0,11.0,11.0,19.0,6.0,62.0,35.0,1027.0,4.5,4.5,6,12.0,0
7,0.0,3.4,8.1,4.0,33.0,7.5,4.0,0.0,26.0,72.0,54.0,1018.7,1.0,2.0,6,11.8,0
10,0.0,9.2,13.7,3.0,37.0,1.0,4.0,20.0,11.0,48.0,21.0,1021.7,1.0,1.0,12,15.3,0
22,0.0,9.4,12.1,1.0,48.0,10.0,1.0,13.0,28.0,74.0,53.0,1015.3,3.0,6.0,2,10.2,0
