@relation weatherAUS_withTempDiff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Standardize

@attribute Location numeric
@attribute Rainfall numeric
@attribute Evaporation numeric
@attribute Sunshine numeric
@attribute WindGustDir numeric
@attribute WindGustSpeed numeric
@attribute WindDir9am numeric
@attribute WindDir3pm numeric
@attribute WindSpeed9am numeric
@attribute WindSpeed3pm numeric
@attribute Humidity9am numeric
@attribute Humidity3pm numeric
@attribute Pressure9am numeric
@attribute Cloud9am numeric
@attribute Cloud3pm numeric
@attribute Month numeric
@attribute TempDiff numeric
@attribute RainTomorrow {0,1}

@data
-0.915993,1.110144,0.040483,-0.896768,-1.563121,0.121636,-0.013466,0.229558,0.451965,-0.180752,-0.209041,0.466375,-1.253465,1.126757,1.170187,-0.978453,-0.711147,0
-0.069038,-0.402105,-0.974465,-0.563484,0.233487,-0.273196,0.421758,0.229558,-0.626512,-0.443612,1.329716,0.144665,0.504626,1.126757,0.770948,-0.685259,-0.29545,0
1.140898,0.101978,-0.568486,0.547464,0.682639,1.602256,-0.666302,0.672052,1.126013,1.527834,1.388899,-0.337901,-0.350662,-1.497844,-1.624487,0.780708,0.951642,0
-0.432019,-0.402105,1.258421,1.019617,0.458063,-0.964152,-1.319138,1.335793,-0.896132,-0.443612,-1.333518,-1.839216,-0.809983,-1.122901,-1.225248,-0.978453,1.970099,0
0.777918,0.606061,0.852441,1.019617,0.682639,0.121636,-1.101526,0.893299,0.856394,1.659264,-0.38659,0.091046,-1.095079,-1.122901,-0.826009,1.073902,-0.17074,0
1.140898,2.11831,-0.771475,-2.25768,0.458063,-1.161568,0.421758,0.450805,-0.626512,-0.706471,0.323605,0.841704,-0.002211,1.126757,1.170187,-0.978453,-0.794286,0
0.656924,-0.402105,-0.500822,-1.202279,0.233487,0.615176,1.292206,-0.434183,1.665251,-0.180752,-0.031492,0.412757,-1.443529,0.751814,0.770948,-0.098872,-0.565653,0
1.261892,-0.402105,0.581789,-0.00801,-1.338545,0.615176,-1.53675,-1.540419,2.3393,1.264975,0.382788,1.056177,-0.097243,0.751814,-0.42677,1.660289,-1.189198,0
1.019905,-0.402105,-1.177454,0.325274,0.121199,0.019843,0.09534,-1.097924,-1.839799,-1.232191,1.270533,0.734467,0.963947,-1.122901,-1.225248,-0.392066,0.224172,0
0.293943,-0.402105,0.175809,-0.2302,-0.889393,-0.668028,-1.53675,-1.097924,-0.356893,0.082107,0.797069,0.841704,0.362078,0.189399,0.172089,-1.564839,-0.731931,0
0.53593,-0.402105,-1.042128,0.464143,1.356367,-0.07578,1.509818,1.335793,0.182345,-0.706471,-0.209041,-0.552374,-0.746628,-1.497844,-1.225248,-0.098872,-0.004462,0
-1.036987,-0.402105,-1.51577,0.380822,0.008911,-1.358984,-1.53675,0.008311,-0.896132,-0.969331,1.033801,-0.498756,0.567981,-1.122901,-1.225248,-0.392066,1.533617,0
1.140898,-0.402105,0.243473,-1.424469,0.008911,0.121636,-0.44869,0.229558,0.182345,0.476396,1.980728,1.109796,-0.081405,1.126757,1.170187,-0.978453,-0.669577,0
0.777918,-0.402105,0.649452,-0.619032,1.805519,1.207424,1.72743,1.335793,1.934871,1.527834,0.737886,1.163414,-1.997882,1.126757,1.569426,-1.564839,-1.62568,0
-1.15798,-0.402105,0.555557,0.2975,-0.664817,-0.668028,0.856982,0.893299,0.721584,-1.62648,-0.209041,-0.71323,1.328236,0.189399,0.172089,-0.098872,0.43202,0
-0.915993,-0.402105,-0.636149,-0.00801,-0.664817,-0.470612,0.09534,-0.65543,-1.839799,1.002115,0.382788,0.30552,0.013627,-1.122901,-0.826009,-0.098872,0.390451,0
-0.553012,-0.402105,1.326084,1.547317,-0.889393,-0.07578,-1.319138,-0.65543,0.856394,-0.969331,-1.037603,-1.463887,0.488787,-1.122901,-1.225248,1.660289,1.11792,0
0.898911,-0.402105,1.393747,1.102938,-1.338545,1.010008,0.63937,-1.319171,-0.087274,1.264975,0.501154,0.251901,-0.524887,-0.373015,0.770948,-1.271646,0.057893,0
0.777918,-0.402105,-0.636149,0.603011,-1.563121,0.516468,-1.53675,-1.097924,0.721584,0.213537,-0.090675,-1.35665,-0.857499,1.126757,1.170187,-0.392066,-0.087601,0
-1.520961,-0.402105,0.920105,1.436222,-0.664817,1.40484,-0.666302,1.55704,1.126013,-1.232191,-1.570249,-1.463887,-0.794144,-1.122901,-0.42677,-1.564839,2.074023,0
1.382886,3.126476,-0.974465,-1.063411,-0.440241,0.121636,-0.013466,0.008311,-0.087274,0.476396,1.21135,0.841704,-0.619919,0.189399,0.172089,1.660289,-1.064489,0
-1.15798,-0.402105,0.555557,1.26958,0.458063,0.516468,-1.101526,0.450805,-0.087274,1.527834,-0.741688,-0.71323,-0.968369,-0.747958,-1.624487,-1.271646,0.51516,0
0.53593,-0.402105,0.514125,1.04739,-0.664817,1.010008,1.509818,-0.65543,-0.356893,1.002115,-0.268224,-0.284283,0.472949,-1.497844,-1.225248,1.073902,0.286526,0
-0.069038,-0.402105,0.108146,1.241806,0.233487,0.516468,-0.231078,0.229558,0.721584,1.264975,-0.860054,-0.337901,0.441271,-0.747958,1.170187,-1.564839,-0.17074,0
0.656924,-0.402105,-0.703812,0.686332,0.121199,0.019843,1.292206,-0.65543,-0.087274,-0.969331,0.146056,0.091046,0.314562,-1.122901,-1.225248,-0.685259,-0.004462,0
-0.069038,-0.402105,0.446462,0.825201,0.907215,1.40484,0.63937,1.114546,1.395632,-0.180752,-1.155969,-1.410269,-1.617755,0.001928,0.770948,-1.564839,1.055566,0
0.414937,-0.402105,2.882337,1.26958,0.008911,-0.07578,-0.231078,0.229558,-0.087274,-0.180752,-0.268224,-0.71323,0.282885,-0.373015,-1.225248,-1.271646,0.452805,0
1.261892,0.606061,0.649452,-0.285747,-1.563121,1.010008,-1.101526,-1.540419,0.856394,1.264975,-0.090675,0.94894,0.821399,-0.747958,0.770948,-0.685259,-1.480186,0
-1.762948,-0.402105,-0.094843,-0.00801,0.233487,-0.766736,-0.013466,-0.212936,-0.087274,-0.969331,0.264422,-0.498756,1.04314,-1.122901,-1.225248,-0.392066,0.619084,0
-0.553012,-0.402105,-1.109791,0.575237,-1.338545,-0.668028,-1.319138,0.672052,0.721584,-1.49505,0.323605,0.198283,1.375752,1.126757,0.371709,0.487515,0.099463,0
-1.036987,-0.402105,-0.297833,0.575237,-1.113969,-1.5564,-1.319138,0.450805,-0.626512,-1.49505,0.560337,-0.605993,1.058979,1.126757,-0.826009,-0.978453,0.51516,0
1.261892,-0.402105,-0.02718,0.852974,-0.889393,0.319052,-1.101526,-0.876677,0.721584,0.739256,0.737886,1.431506,-0.73079,0.751814,0.371709,-1.271646,-1.500971,0
-0.432019,-0.402105,0.852441,1.380675,0.008911,-0.668028,-1.53675,-0.434183,-0.087274,0.082107,-0.919237,-0.337901,-0.984208,-1.497844,-1.225248,1.660289,0.286526,0
