Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Age,Total_Promotions,Children_Number,Total_Spent,Total_Purchases
1,0,58138.0,635,88,546,172,88,88,3,8,10,4,7,0,65,0,0,1617,22
1,0,46344.0,11,1,6,2,1,6,2,1,1,2,5,0,68,0,2,27,4
1,1,71613.0,426,49,127,111,21,42,1,8,2,10,4,0,57,0,0,776,20
1,1,26646.0,11,4,20,10,3,5,2,2,0,4,6,0,38,0,1,53,6
2,1,58293.0,173,43,118,46,27,15,5,5,3,6,5,0,41,0,1,422,14
2,1,62513.0,520,42,98,0,42,14,2,6,4,10,6,0,55,0,1,716,20
1,0,55635.0,235,65,164,50,49,27,4,7,3,7,6,0,51,0,1,590,17
2,1,33454.0,76,10,56,3,1,23,2,4,0,4,8,0,37,0,1,169,8
2,1,30351.0,14,0,24,3,3,2,1,3,0,2,9,0,48,0,1,46,5
2,1,5648.0,28,0,6,1,1,13,1,1,0,0,20,0,72,1,2,49,1
1,1,51381.5,5,5,6,0,2,1,1,1,0,2,7,0,39,0,1,19,3
0,1,7500.0,6,16,11,11,1,16,1,2,0,3,8,0,46,0,0,61,5
1,0,63033.0,194,61,480,225,112,30,1,3,4,8,2,0,63,0,0,1102,15
2,0,59354.0,233,2,53,3,5,14,3,6,1,5,6,0,70,0,2,310,12
1,1,17323.0,3,14,17,6,1,5,1,1,0,3,8,0,35,0,0,46,4
2,0,82800.0,1006,22,115,59,68,45,1,7,6,12,3,0,76,2,0,1315,25
1,1,41850.0,53,5,19,2,13,4,3,3,0,3,8,0,42,0,2,96,6
1,1,37760.0,84,5,38,150,12,28,2,4,1,6,7,0,76,0,0,317,11
2,1,76995.0,1012,80,498,0,16,176,2,11,4,9,5,0,73,1,1,1782,24
0,0,33812.0,4,17,19,30,24,39,2,2,1,3,6,0,37,0,1,133,6
1,1,37040.0,86,2,73,69,38,48,1,4,2,5,8,0,40,0,0,316,11
1,1,2447.0,1,1,1725,1,1,1,15,0,28,0,1,0,43,0,1,1730,28
2,1,58607.0,867,0,86,0,0,19,3,2,3,9,8,0,73,1,1,972,14
2,1,65324.0,384,0,102,21,32,5,3,6,2,9,4,0,68,0,1,544,17
1,1,40689.0,270,3,27,39,6,99,7,7,1,5,8,0,71,0,1,444,13
1,0,18589.0,6,4,25,15,12,13,2,2,1,3,7,0,53,0,0,75,6
1,1,53359.0,173,4,30,3,6,41,4,5,1,4,7,0,46,0,2,257,10
1,0,51381.5,5,1,3,3,263,362,0,27,0,0,1,0,36,0,1,637,27
1,1,38360.0,36,2,42,20,21,10,2,2,1,4,3,0,33,0,1,131,7
2,1,84618.0,684,100,801,21,66,0,1,6,9,10,2,0,57,1,0,1672,25
2,0,10979.0,8,4,10,2,2,4,2,3,0,3,5,0,33,0,0,30,6
2,1,38620.0,112,17,44,34,22,89,1,2,5,3,3,0,59,0,0,318,10
1,1,40548.0,110,0,5,2,0,3,2,2,1,4,5,0,52,1,1,120,7
2,0,46610.0,96,12,96,33,22,43,6,4,1,6,6,0,70,0,2,302,11
2,1,68657.0,482,34,471,119,68,22,1,3,5,9,7,0,76,0,0,1196,17
2,0,49389.0,40,0,19,2,1,3,1,2,0,3,7,0,71,0,2,65,5
2,1,67353.0,702,17,151,0,8,35,5,5,6,12,2,0,52,0,1,913,23
0,1,23718.0,6,3,14,15,7,36,3,3,1,2,7,0,46,0,1,81,6
1,0,42429.0,55,0,6,2,0,4,2,1,1,3,5,0,49,0,1,67,5
2,0,48948.0,437,8,206,160,49,42,2,7,10,5,6,0,79,1,0,902,22
1,1,80011.0,421,76,536,82,178,102,2,8,6,5,4,0,42,0,1,1395,19
2,1,20559.0,13,1,29,3,0,7,2,2,0,3,8,0,37,0,1,53,5
1,1,21994.0,9,0,6,3,1,3,1,0,0,3,5,0,65,0,1,22,3
2,0,51381.5,81,11,50,3,2,39,1,1,3,4,2,0,63,0,0,186,8
2,1,7500.0,3,1,10,3,2,12,3,2,0,3,5,0,47,0,1,31,5
1,0,79941.0,123,164,266,227,30,174,1,2,4,9,1,0,46,0,0,984,15
0,1,7500.0,3,18,14,15,22,50,3,3,1,3,9,0,26,0,0,122,7
1,1,41728.0,13,6,15,3,5,13,1,2,0,2,10,0,54,0,1,55,4
1,0,51381.5,48,5,48,6,10,7,3,2,1,4,6,0,71,0,3,124,7
2,1,72550.0,826,50,317,50,38,38,9,5,2,12,8,0,68,0,2,1319,19
1,0,65486.0,245,19,125,37,67,14,1,4,2,10,2,0,65,0,1,507,16
2,1,79143.0,650,37,780,27,167,32,1,6,9,13,3,0,58,0,0,1693,28
1,0,35790.0,12,6,20,30,1,3,2,2,0,3,7,0,45,0,1,72,5
